epoch,loss,accuracy
1,4.789258655548096,0.008416666666666666
2,4.787910205841064,0.007916666666666667
3,4.78703933207194,0.0095
4,4.787049015045166,0.008583333333333333
5,4.786335121154785,0.00875
6,4.785854302724203,0.00925
7,4.786182807922363,0.0075
8,4.784849999745687,0.011666666666666667
9,4.784396644592285,0.010416666666666666
10,4.783454086303711,0.011166666666666667
11,4.781859717051188,0.011416666666666667
12,4.780456433614095,0.009083333333333334
13,4.777256649017334,0.011166666666666667
14,4.774657479604086,0.012416666666666666
15,4.7694022102355955,0.01175
16,4.764479052225749,0.012666666666666666
17,4.756432282765706,0.01125
18,4.747387049357096,0.013833333333333333
19,4.739423292795817,0.012083333333333333
20,4.730951950073242,0.015083333333333334
21,4.721483108520508,0.016166666666666666
22,4.709276374816895,0.0165
23,4.692902467091878,0.019
24,4.682047901153564,0.01975
25,4.663759329477946,0.020416666666666666
26,4.650435240427653,0.023583333333333335
27,4.63361897277832,0.021833333333333333
28,4.621671091715495,0.021166666666666667
29,4.608006581624349,0.021833333333333333
30,4.576474035898844,0.027333333333333334
31,4.547217332204183,0.0275
32,4.527726432800293,0.028833333333333332
33,4.504649471282959,0.029583333333333333
34,4.491435465494791,0.029583333333333333
35,4.478057768503825,0.03208333333333333
36,4.45879633585612,0.030166666666666668
37,4.4429002850850425,0.03216666666666667
38,4.429965512593587,0.034416666666666665
39,4.4241187896728515,0.035583333333333335
40,4.407339344024658,0.036166666666666666
41,4.396184058507283,0.03425
42,4.382887110392253,0.037333333333333336
43,4.3655310624440515,0.03875
44,4.3639261938730876,0.03808333333333333
45,4.343763029734293,0.04133333333333333
46,4.3325708357493085,0.04041666666666666
47,4.326842887242635,0.03875
48,4.314542941411336,0.0415
49,4.299822507222493,0.04041666666666666
50,4.2953039824167885,0.043583333333333335
51,4.295699427286784,0.03925
52,4.27606472714742,0.04375
53,4.268189232508341,0.04691666666666667
54,4.26224340057373,0.04108333333333333
55,4.251159068425497,0.046
56,4.248863299687703,0.04725
57,4.238335075378418,0.0455
58,4.232350292205811,0.04675
59,4.2295996182759605,0.04675
60,4.2203345807393395,0.05025
61,4.207385813395183,0.053
62,4.215558052062988,0.04958333333333333
63,4.208569233576457,0.051166666666666666
64,4.196404675165812,0.052
65,4.2019106375376385,0.050333333333333334
66,4.196579141616821,0.05241666666666667
67,4.200751361211141,0.050083333333333334
68,4.19316206296285,0.052583333333333336
69,4.186588209152221,0.05333333333333334
70,4.182623956680298,0.05516666666666667
